date,trait,TN1,TN3,TN2,TN4,TA3,TA2,TA6,TA5,TA4,TA1
6/23/16,internode1,16.79,34.45,19.71,31.8,17.89,39.73,39.12,34.86,35.38,45.23
6/23/16,internode2,17.48,38.61,14.61,26.47,14.36,27.31,28.84,30.41,21.22,19.9
6/23/16,internode3,12.88,35.52,34.21,37.45,23,27.31,27.96,29.04,36.51,23.35
6/23/16,internode4,12.88,32.54,23.48,74.49,8.91,34.95,22.68,24.99,22.43,31.77
6/23/16,internode5,20.86,53.87,32.26,58.34,24.12,35.75,46.03,31.32,40.35,47.37
6/23/16,internode6,37.41,61.4,47.35,62.43,35.43,51.06,73.24,55.8,46.95,46.44
6/23/16,internode7,34.41,59.92,53.97,,49.04,72.41,,56.97,51.02,44.53
6/23/16,internode8,31.66,47.35,43.36,,55.73,,,,,
6/23/16,internode9,52.98,,29.18,,,,,,,
6/23/16,internode10,42.95,,,,,,,,,
6/23/16,petiole1,56.37,66.11,58.88,83.19,64.45,64.8,40.85,56.63,59.89,60.95
6/23/16,petiole2,64.19,69.8,56.95,60.79,56.36,68.46,71.26,61.23,45.69,54.92
6/23/16,petiole3,67.54,38.46,77.88,65.59,52.93,56.42,57.99,49.93,48.93,57.83
6/23/16,petiole4,93.26,48.11,56.56,61.07,41.58,40.53,52.4,36.5,49.72,37.05
6/23/16,petiole5,52.32,67.34,50.95,44.12,45.32,49.29,36.9,38.57,37,46.77
6/23/16,petiole6,47.85,47.55,60.93,38.35,44.08,42.42,32.33,29.97,35.86,52.28
6/23/16,petiole7,44.99,38.59,58.29,,25.98,,43.58,,33.59,42.2
6/23/16,petiole8,40.85,,60.74,,,,43.58,,,
