date,trait,TN1,TN2,TN3,TN4,TN5,TA1,TA2,TA3,TA4,TA5
7/12/16,internode1,26.7,25.36,20.66,26.95,13.5,18.29,21.46,12.98,21.84,14.93
7/12/16,internode2,21.32,21.68,28,23.22,25.27,31.74,24.42,14.93,24.99,14.89
7/12/16,internode3,30.19,29.22,27.35,47.17,22.07,13.77,24.38,19.13,14.7,14.56
7/12/16,internode4,71.54,31.86,28.31,55.86,21.8,28.12,15.89,18.07,16.97,14.58
7/12/16,internode5,48.52,40.52,85.87,72.25,35.53,29.3,14.24,22.75,25.65,20.31
7/12/16,internode6,44.95,40.79,47.81,57.99,39.89,29.72,32.64,22.8,20.59,22.4
7/12/16,internode7,26.18,25.49,41.89,33.57,48.34,26.26,19.85,25.26,27.84,25.37
7/12/16,internode8,,,,,47.25,,,18.46,27.99,23.77
7/12/16,internode9,,,,,53.93,,,,,28.56
7/12/16,petiole1,42.43,58.81,56.88,53.19,44.08,44.49,51.79,26.09,38.46,38.02
7/12/16,petiole2,62.01,49.89,52.25,58.36,44.99,61.16,65.11,40.43,38.46,46.09
7/12/16,petiole3,74.34,51.64,77.41,48.71,71,36.37,65.25,65.55,66.48,54.22
7/12/16,petiole4,49.25,58.16,61.27,62.41,74.62,39.92,46.53,56.16,58.15,56.85
7/12/16,petiole5,54.46,28.78,62.27,77.45,45.93,47.89,33.81,27.98,42.29,60.51
7/12/16,petiole6,28.77,,28.65,35.73,59.58,31.08,17.95,38.14,44.15,38.75
7/12/16,petiole7,23.97,,,,54.62,13.62,,29.86,30.85,45.3
7/12/16,petiole8,,,,,41.11,,,,28.06,30.72
7/12/16,petiole9,,,,,,,,,,27.45
